Order_ID,Order_Date,Customer_ID,Product_Name,Category,Region,Sales,Quantity,Profit,Payment_Mode
ORD100496,2025-06-03,CUST1880,Tennis Racket,Sports,Central,291.27,1,75.33,UPI
ORD100165,2026-02-11,CUST1489,Formal Shirt,Apparel,West,102.49,1,19.38,Cash
ORD100055,2025-12-01,CUST1274,Trail Backpack,Sports,South,178.8,1,13.78,Net Banking
ORD100583,2025-08-19,CUST1516,Denim Jacket,Apparel,Central,69.06,1,19.2,UPI
ORD100609,2025-03-05,CUST1818,Electric Kettle,Home,South,41.86,1,2.62,Net Banking
ORD100368,2025-12-13,CUST1006,Formal Shirt,Apparel,South,249.21,3,81.82,Debit Card
ORD100372,2024-09-25,CUST1224,Wireless Mouse,Electronics,Central,782.81,1,175.37,Debit Card
ORD100671,2024-10-06,CUST1027,Noise-Cancel Headphones,Electronics,East,365.82,1,117.77,Credit Card
ORD100584,2025-07-08,CUST1322,Scented Candle,Home,West,133.78,1,15.33,Debit Card
ORD100311,2025-08-05,CUST1392,Classic Lamp,Home,North,169.04,1,58.37,Net Banking
ORD100356,2024-11-05,CUST1766,Gourmet Tea,Grocery,South,8.47,1,0.7,Cash
ORD100605,2025-06-27,CUST1646,Trail Backpack,Sports,West,152.08,1,11.35,UPI
ORD100522,2026-02-02,CUST1019,Protein Bar Pack,Grocery,Central,11.05,1,1.96,Cash
ORD100559,2025-03-13,CUST1067,Smartwatch Pro,Electronics,West,506.23,1,37.6,Net Banking
ORD100133,2025-10-04,CUST1016,Formal Shirt,Apparel,Central,122.74,2,33.79,UPI
ORD100293,2025-12-18,CUST1484,Noise-Cancel Headphones,Electronics,South,239.9,1,13.95,Cash
ORD100132,2025-06-11,CUST1113,Electric Kettle,Home,South,88.04,1,28.99,Credit Card
ORD100082,2024-05-31,CUST1300,Gourmet Tea,Grocery,East,24.17,1,7.94,Debit Card
ORD100087,2024-12-16,CUST1694,Blender Pro,Home,North,202.47,1,47.48,Debit Card
ORD100653,2025-01-15,CUST1921,Formal Shirt,Apparel,Central,62.99,1,15.17,Net Banking
ORD100454,2024-11-17,CUST1760,Yoga Mat,Sports,South,214.54,1,24.29,Cash
ORD100625,2026-01-23,CUST1289,Trail Backpack,Sports,North,114.78,1,30.97,Debit Card
ORD100448,2026-01-04,CUST1702,"LED Monitor 24""",Electronics,West,270.19,1,72.45,Net Banking
ORD100520,2026-01-22,CUST1315,Protein Bar Pack,Grocery,Central,4.28,1,1.37,Cash
ORD100397,2025-06-09,CUST1511,Blender Pro,Home,Central,161.85,1,11.36,Credit Card
ORD100645,2025-04-02,CUST1787,Noise-Cancel Headphones,Electronics,Central,244.31,1,61.8,Credit Card
ORD100078,2025-04-29,CUST1395,Blender Pro,Home,West,261.45,1,51.7,UPI
ORD100478,2025-03-05,CUST1146,Organic Coffee,Grocery,Central,20.91,1,5.23,Net Banking
ORD100276,2025-06-25,CUST1810,Protein Bar Pack,Grocery,East,73.88,2,11.38,Debit Card
ORD100666,2025-05-28,CUST1396,"LED Monitor 24""",Electronics,West,126.58,1,8.95,Credit Card
ORD100339,2024-04-17,CUST1535,Organic Coffee,Grocery,North,15.71,1,1.64,Cash
ORD100325,2025-09-23,CUST1785,Smartwatch Pro,Electronics,Central,1075.55,1,63.84,Net Banking
ORD100137,2024-10-25,CUST1907,Noise-Cancel Headphones,Electronics,East,1139.52,2,166.14,Debit Card
ORD100073,2026-03-20,CUST1496,Organic Coffee,Grocery,North,10.18,1,2.49,Net Banking
ORD100491,2025-07-11,CUST1544,Electric Kettle,Home,West,185.07,1,58.03,Cash
ORD100232,2026-03-10,CUST1359,Kitchen Knife Set,Home,West,52.12,1,12.15,Cash
ORD100119,2024-05-16,CUST1460,Smartwatch Pro,Electronics,South,660.83,1,38.3,Cash
ORD100622,2025-11-22,CUST1994,Classic Lamp,Home,Central,244.26,1,80.9,Credit Card
ORD100543,2025-08-06,CUST1755,Smartwatch Pro,Electronics,South,984.53,1,77.78,UPI
ORD100602,2026-03-04,CUST1252,Denim Jacket,Apparel,South,100.22,1,28.3,Net Banking
ORD100635,2026-03-11,CUST1691,Scented Candle,Home,East,34.7,1,9.5,Debit Card
ORD100312,2026-01-05,CUST1751,"LED Monitor 24""",Electronics,South,409.73,1,53.96,Debit Card
